datasets\waterDataSet\imgAug\499.jpeg datasets\waterDataSet\labelAug\499.png datasets\waterDataSet\edge\499.png
datasets\waterDataSet\imgAug\4725.jpeg datasets\waterDataSet\labelAug\4725.png datasets\waterDataSet\edge\4725.png
datasets\waterDataSet\imgAug\1391.jpeg datasets\waterDataSet\labelAug\1391.png datasets\waterDataSet\edge\1391.png
datasets\waterDataSet\imgAug\590.jpeg datasets\waterDataSet\labelAug\590.png datasets\waterDataSet\edge\590.png
datasets\waterDataSet\imgAug\1829.jpeg datasets\waterDataSet\labelAug\1829.png datasets\waterDataSet\edge\1829.png
datasets\waterDataSet\imgAug\533.jpeg datasets\waterDataSet\labelAug\533.png datasets\waterDataSet\edge\533.png
datasets\waterDataSet\imgAug\4375.jpeg datasets\waterDataSet\labelAug\4375.png datasets\waterDataSet\edge\4375.png
datasets\waterDataSet\imgAug\416.jpeg datasets\waterDataSet\labelAug\416.png datasets\waterDataSet\edge\416.png
datasets\waterDataSet\imgAug\39.jpeg datasets\waterDataSet\labelAug\39.png datasets\waterDataSet\edge\39.png
datasets\waterDataSet\imgAug\3877.jpeg datasets\waterDataSet\labelAug\3877.png datasets\waterDataSet\edge\3877.png
datasets\waterDataSet\imgAug\2240.jpeg datasets\waterDataSet\labelAug\2240.png datasets\waterDataSet\edge\2240.png
datasets\waterDataSet\imgAug\1948.jpeg datasets\waterDataSet\labelAug\1948.png datasets\waterDataSet\edge\1948.png
datasets\waterDataSet\imgAug\1468.jpeg datasets\waterDataSet\labelAug\1468.png datasets\waterDataSet\edge\1468.png
datasets\waterDataSet\imgAug\2472.jpeg datasets\waterDataSet\labelAug\2472.png datasets\waterDataSet\edge\2472.png
datasets\waterDataSet\imgAug\1622.jpeg datasets\waterDataSet\labelAug\1622.png datasets\waterDataSet\edge\1622.png
datasets\waterDataSet\imgAug\4740.jpeg datasets\waterDataSet\labelAug\4740.png datasets\waterDataSet\edge\4740.png
datasets\waterDataSet\imgAug\2304.jpeg datasets\waterDataSet\labelAug\2304.png datasets\waterDataSet\edge\2304.png
datasets\waterDataSet\imgAug\3119.jpeg datasets\waterDataSet\labelAug\3119.png datasets\waterDataSet\edge\3119.png
datasets\waterDataSet\imgAug\1282.jpeg datasets\waterDataSet\labelAug\1282.png datasets\waterDataSet\edge\1282.png
datasets\waterDataSet\imgAug\893.jpeg datasets\waterDataSet\labelAug\893.png datasets\waterDataSet\edge\893.png
datasets\waterDataSet\imgAug\5054.jpeg datasets\waterDataSet\labelAug\5054.png datasets\waterDataSet\edge\5054.png
datasets\waterDataSet\imgAug\4102.jpeg datasets\waterDataSet\labelAug\4102.png datasets\waterDataSet\edge\4102.png
datasets\waterDataSet\imgAug\3326.jpeg datasets\waterDataSet\labelAug\3326.png datasets\waterDataSet\edge\3326.png
datasets\waterDataSet\imgAug\3958.jpeg datasets\waterDataSet\labelAug\3958.png datasets\waterDataSet\edge\3958.png
datasets\waterDataSet\imgAug\2628.jpeg datasets\waterDataSet\labelAug\2628.png datasets\waterDataSet\edge\2628.png
datasets\waterDataSet\imgAug\613.jpeg datasets\waterDataSet\labelAug\613.png datasets\waterDataSet\edge\613.png
datasets\waterDataSet\imgAug\607.jpeg datasets\waterDataSet\labelAug\607.png datasets\waterDataSet\edge\607.png
datasets\waterDataSet\imgAug\4087.jpeg datasets\waterDataSet\labelAug\4087.png datasets\waterDataSet\edge\4087.png
datasets\waterDataSet\imgAug\2077.jpeg datasets\waterDataSet\labelAug\2077.png datasets\waterDataSet\edge\2077.png
datasets\waterDataSet\imgAug\436.jpeg datasets\waterDataSet\labelAug\436.png datasets\waterDataSet\edge\436.png
datasets\waterDataSet\imgAug\4548.jpeg datasets\waterDataSet\labelAug\4548.png datasets\waterDataSet\edge\4548.png
datasets\waterDataSet\imgAug\661.jpeg datasets\waterDataSet\labelAug\661.png datasets\waterDataSet\edge\661.png
datasets\waterDataSet\imgAug\606.jpeg datasets\waterDataSet\labelAug\606.png datasets\waterDataSet\edge\606.png
datasets\waterDataSet\imgAug\4342.jpeg datasets\waterDataSet\labelAug\4342.png datasets\waterDataSet\edge\4342.png
datasets\waterDataSet\imgAug\1692.jpeg datasets\waterDataSet\labelAug\1692.png datasets\waterDataSet\edge\1692.png
datasets\waterDataSet\imgAug\3956.jpeg datasets\waterDataSet\labelAug\3956.png datasets\waterDataSet\edge\3956.png
datasets\waterDataSet\imgAug\2374.jpeg datasets\waterDataSet\labelAug\2374.png datasets\waterDataSet\edge\2374.png
datasets\waterDataSet\imgAug\3679.jpeg datasets\waterDataSet\labelAug\3679.png datasets\waterDataSet\edge\3679.png
datasets\waterDataSet\imgAug\4625.jpeg datasets\waterDataSet\labelAug\4625.png datasets\waterDataSet\edge\4625.png
datasets\waterDataSet\imgAug\1717.jpeg datasets\waterDataSet\labelAug\1717.png datasets\waterDataSet\edge\1717.png
datasets\waterDataSet\imgAug\3691.jpeg datasets\waterDataSet\labelAug\3691.png datasets\waterDataSet\edge\3691.png
datasets\waterDataSet\imgAug\3928.jpeg datasets\waterDataSet\labelAug\3928.png datasets\waterDataSet\edge\3928.png
datasets\waterDataSet\imgAug\1983.jpeg datasets\waterDataSet\labelAug\1983.png datasets\waterDataSet\edge\1983.png
datasets\waterDataSet\imgAug\4165.jpeg datasets\waterDataSet\labelAug\4165.png datasets\waterDataSet\edge\4165.png
datasets\waterDataSet\imgAug\1579.jpeg datasets\waterDataSet\labelAug\1579.png datasets\waterDataSet\edge\1579.png
datasets\waterDataSet\imgAug\1280.jpeg datasets\waterDataSet\labelAug\1280.png datasets\waterDataSet\edge\1280.png
datasets\waterDataSet\imgAug\2422.jpeg datasets\waterDataSet\labelAug\2422.png datasets\waterDataSet\edge\2422.png
datasets\waterDataSet\imgAug\3091.jpeg datasets\waterDataSet\labelAug\3091.png datasets\waterDataSet\edge\3091.png
datasets\waterDataSet\imgAug\3664.jpeg datasets\waterDataSet\labelAug\3664.png datasets\waterDataSet\edge\3664.png
datasets\waterDataSet\imgAug\4701.jpeg datasets\waterDataSet\labelAug\4701.png datasets\waterDataSet\edge\4701.png
datasets\waterDataSet\imgAug\3072.jpeg datasets\waterDataSet\labelAug\3072.png datasets\waterDataSet\edge\3072.png
datasets\waterDataSet\imgAug\3570.jpeg datasets\waterDataSet\labelAug\3570.png datasets\waterDataSet\edge\3570.png
datasets\waterDataSet\imgAug\3901.jpeg datasets\waterDataSet\labelAug\3901.png datasets\waterDataSet\edge\3901.png
datasets\waterDataSet\imgAug\1768.jpeg datasets\waterDataSet\labelAug\1768.png datasets\waterDataSet\edge\1768.png
datasets\waterDataSet\imgAug\4219.jpeg datasets\waterDataSet\labelAug\4219.png datasets\waterDataSet\edge\4219.png
datasets\waterDataSet\imgAug\2213.jpeg datasets\waterDataSet\labelAug\2213.png datasets\waterDataSet\edge\2213.png
datasets\waterDataSet\imgAug\3525.jpeg datasets\waterDataSet\labelAug\3525.png datasets\waterDataSet\edge\3525.png
datasets\waterDataSet\imgAug\559.jpeg datasets\waterDataSet\labelAug\559.png datasets\waterDataSet\edge\559.png
datasets\waterDataSet\imgAug\4449.jpeg datasets\waterDataSet\labelAug\4449.png datasets\waterDataSet\edge\4449.png
datasets\waterDataSet\imgAug\4025.jpeg datasets\waterDataSet\labelAug\4025.png datasets\waterDataSet\edge\4025.png
datasets\waterDataSet\imgAug\2721.jpeg datasets\waterDataSet\labelAug\2721.png datasets\waterDataSet\edge\2721.png
datasets\waterDataSet\imgAug\2522.jpeg datasets\waterDataSet\labelAug\2522.png datasets\waterDataSet\edge\2522.png
datasets\waterDataSet\imgAug\1262.jpeg datasets\waterDataSet\labelAug\1262.png datasets\waterDataSet\edge\1262.png
datasets\waterDataSet\imgAug\4650.jpeg datasets\waterDataSet\labelAug\4650.png datasets\waterDataSet\edge\4650.png
datasets\waterDataSet\imgAug\1797.jpeg datasets\waterDataSet\labelAug\1797.png datasets\waterDataSet\edge\1797.png
datasets\waterDataSet\imgAug\3941.jpeg datasets\waterDataSet\labelAug\3941.png datasets\waterDataSet\edge\3941.png
datasets\waterDataSet\imgAug\4297.jpeg datasets\waterDataSet\labelAug\4297.png datasets\waterDataSet\edge\4297.png
datasets\waterDataSet\imgAug\1853.jpeg datasets\waterDataSet\labelAug\1853.png datasets\waterDataSet\edge\1853.png
datasets\waterDataSet\imgAug\1839.jpeg datasets\waterDataSet\labelAug\1839.png datasets\waterDataSet\edge\1839.png
datasets\waterDataSet\imgAug\4383.jpeg datasets\waterDataSet\labelAug\4383.png datasets\waterDataSet\edge\4383.png
datasets\waterDataSet\imgAug\4681.jpeg datasets\waterDataSet\labelAug\4681.png datasets\waterDataSet\edge\4681.png
datasets\waterDataSet\imgAug\1334.jpeg datasets\waterDataSet\labelAug\1334.png datasets\waterDataSet\edge\1334.png
datasets\waterDataSet\imgAug\4511.jpeg datasets\waterDataSet\labelAug\4511.png datasets\waterDataSet\edge\4511.png
datasets\waterDataSet\imgAug\1674.jpeg datasets\waterDataSet\labelAug\1674.png datasets\waterDataSet\edge\1674.png
datasets\waterDataSet\imgAug\3740.jpeg datasets\waterDataSet\labelAug\3740.png datasets\waterDataSet\edge\3740.png
datasets\waterDataSet\imgAug\3582.jpeg datasets\waterDataSet\labelAug\3582.png datasets\waterDataSet\edge\3582.png
datasets\waterDataSet\imgAug\2650.jpeg datasets\waterDataSet\labelAug\2650.png datasets\waterDataSet\edge\2650.png
datasets\waterDataSet\imgAug\2799.jpeg datasets\waterDataSet\labelAug\2799.png datasets\waterDataSet\edge\2799.png
datasets\waterDataSet\imgAug\358.jpeg datasets\waterDataSet\labelAug\358.png datasets\waterDataSet\edge\358.png
datasets\waterDataSet\imgAug\5078.jpeg datasets\waterDataSet\labelAug\5078.png datasets\waterDataSet\edge\5078.png
datasets\waterDataSet\imgAug\4584.jpeg datasets\waterDataSet\labelAug\4584.png datasets\waterDataSet\edge\4584.png
datasets\waterDataSet\imgAug\202.jpeg datasets\waterDataSet\labelAug\202.png datasets\waterDataSet\edge\202.png
datasets\waterDataSet\imgAug\2592.jpeg datasets\waterDataSet\labelAug\2592.png datasets\waterDataSet\edge\2592.png
datasets\waterDataSet\imgAug\92.jpeg datasets\waterDataSet\labelAug\92.png datasets\waterDataSet\edge\92.png
datasets\waterDataSet\imgAug\1957.jpeg datasets\waterDataSet\labelAug\1957.png datasets\waterDataSet\edge\1957.png
datasets\waterDataSet\imgAug\3497.jpeg datasets\waterDataSet\labelAug\3497.png datasets\waterDataSet\edge\3497.png
datasets\waterDataSet\imgAug\4714.jpeg datasets\waterDataSet\labelAug\4714.png datasets\waterDataSet\edge\4714.png
datasets\waterDataSet\imgAug\564.jpeg datasets\waterDataSet\labelAug\564.png datasets\waterDataSet\edge\564.png
datasets\waterDataSet\imgAug\3704.jpeg datasets\waterDataSet\labelAug\3704.png datasets\waterDataSet\edge\3704.png
datasets\waterDataSet\imgAug\2669.jpeg datasets\waterDataSet\labelAug\2669.png datasets\waterDataSet\edge\2669.png
datasets\waterDataSet\imgAug\2919.jpeg datasets\waterDataSet\labelAug\2919.png datasets\waterDataSet\edge\2919.png
datasets\waterDataSet\imgAug\364.jpeg datasets\waterDataSet\labelAug\364.png datasets\waterDataSet\edge\364.png
datasets\waterDataSet\imgAug\952.jpeg datasets\waterDataSet\labelAug\952.png datasets\waterDataSet\edge\952.png
datasets\waterDataSet\imgAug\2518.jpeg datasets\waterDataSet\labelAug\2518.png datasets\waterDataSet\edge\2518.png
datasets\waterDataSet\imgAug\944.jpeg datasets\waterDataSet\labelAug\944.png datasets\waterDataSet\edge\944.png
datasets\waterDataSet\imgAug\4217.jpeg datasets\waterDataSet\labelAug\4217.png datasets\waterDataSet\edge\4217.png
datasets\waterDataSet\imgAug\5067.jpeg datasets\waterDataSet\labelAug\5067.png datasets\waterDataSet\edge\5067.png
datasets\waterDataSet\imgAug\3105.jpeg datasets\waterDataSet\labelAug\3105.png datasets\waterDataSet\edge\3105.png
datasets\waterDataSet\imgAug\1802.jpeg datasets\waterDataSet\labelAug\1802.png datasets\waterDataSet\edge\1802.png
datasets\waterDataSet\imgAug\4870.jpeg datasets\waterDataSet\labelAug\4870.png datasets\waterDataSet\edge\4870.png
datasets\waterDataSet\imgAug\4659.jpeg datasets\waterDataSet\labelAug\4659.png datasets\waterDataSet\edge\4659.png
datasets\waterDataSet\imgAug\3593.jpeg datasets\waterDataSet\labelAug\3593.png datasets\waterDataSet\edge\3593.png
datasets\waterDataSet\imgAug\3382.jpeg datasets\waterDataSet\labelAug\3382.png datasets\waterDataSet\edge\3382.png
datasets\waterDataSet\imgAug\3449.jpeg datasets\waterDataSet\labelAug\3449.png datasets\waterDataSet\edge\3449.png
datasets\waterDataSet\imgAug\657.jpeg datasets\waterDataSet\labelAug\657.png datasets\waterDataSet\edge\657.png
datasets\waterDataSet\imgAug\2877.jpeg datasets\waterDataSet\labelAug\2877.png datasets\waterDataSet\edge\2877.png
datasets\waterDataSet\imgAug\3476.jpeg datasets\waterDataSet\labelAug\3476.png datasets\waterDataSet\edge\3476.png
datasets\waterDataSet\imgAug\3171.jpeg datasets\waterDataSet\labelAug\3171.png datasets\waterDataSet\edge\3171.png
datasets\waterDataSet\imgAug\1536.jpeg datasets\waterDataSet\labelAug\1536.png datasets\waterDataSet\edge\1536.png
datasets\waterDataSet\imgAug\2865.jpeg datasets\waterDataSet\labelAug\2865.png datasets\waterDataSet\edge\2865.png
datasets\waterDataSet\imgAug\3041.jpeg datasets\waterDataSet\labelAug\3041.png datasets\waterDataSet\edge\3041.png
datasets\waterDataSet\imgAug\4956.jpeg datasets\waterDataSet\labelAug\4956.png datasets\waterDataSet\edge\4956.png
datasets\waterDataSet\imgAug\4482.jpeg datasets\waterDataSet\labelAug\4482.png datasets\waterDataSet\edge\4482.png
datasets\waterDataSet\imgAug\3275.jpeg datasets\waterDataSet\labelAug\3275.png datasets\waterDataSet\edge\3275.png
datasets\waterDataSet\imgAug\1843.jpeg datasets\waterDataSet\labelAug\1843.png datasets\waterDataSet\edge\1843.png
datasets\waterDataSet\imgAug\2109.jpeg datasets\waterDataSet\labelAug\2109.png datasets\waterDataSet\edge\2109.png
datasets\waterDataSet\imgAug\2306.jpeg datasets\waterDataSet\labelAug\2306.png datasets\waterDataSet\edge\2306.png
datasets\waterDataSet\imgAug\1352.jpeg datasets\waterDataSet\labelAug\1352.png datasets\waterDataSet\edge\1352.png
datasets\waterDataSet\imgAug\1683.jpeg datasets\waterDataSet\labelAug\1683.png datasets\waterDataSet\edge\1683.png
datasets\waterDataSet\imgAug\4933.jpeg datasets\waterDataSet\labelAug\4933.png datasets\waterDataSet\edge\4933.png
datasets\waterDataSet\imgAug\3408.jpeg datasets\waterDataSet\labelAug\3408.png datasets\waterDataSet\edge\3408.png
datasets\waterDataSet\imgAug\2458.jpeg datasets\waterDataSet\labelAug\2458.png datasets\waterDataSet\edge\2458.png
datasets\waterDataSet\imgAug\1305.jpeg datasets\waterDataSet\labelAug\1305.png datasets\waterDataSet\edge\1305.png
datasets\waterDataSet\imgAug\149.jpeg datasets\waterDataSet\labelAug\149.png datasets\waterDataSet\edge\149.png
datasets\waterDataSet\imgAug\2841.jpeg datasets\waterDataSet\labelAug\2841.png datasets\waterDataSet\edge\2841.png
datasets\waterDataSet\imgAug\4972.jpeg datasets\waterDataSet\labelAug\4972.png datasets\waterDataSet\edge\4972.png
datasets\waterDataSet\imgAug\1598.jpeg datasets\waterDataSet\labelAug\1598.png datasets\waterDataSet\edge\1598.png
datasets\waterDataSet\imgAug\3132.jpeg datasets\waterDataSet\labelAug\3132.png datasets\waterDataSet\edge\3132.png
datasets\waterDataSet\imgAug\3321.jpeg datasets\waterDataSet\labelAug\3321.png datasets\waterDataSet\edge\3321.png
datasets\waterDataSet\imgAug\3694.jpeg datasets\waterDataSet\labelAug\3694.png datasets\waterDataSet\edge\3694.png
datasets\waterDataSet\imgAug\1665.jpeg datasets\waterDataSet\labelAug\1665.png datasets\waterDataSet\edge\1665.png
datasets\waterDataSet\imgAug\1061.jpeg datasets\waterDataSet\labelAug\1061.png datasets\waterDataSet\edge\1061.png
datasets\waterDataSet\imgAug\4258.jpeg datasets\waterDataSet\labelAug\4258.png datasets\waterDataSet\edge\4258.png
datasets\waterDataSet\imgAug\1960.jpeg datasets\waterDataSet\labelAug\1960.png datasets\waterDataSet\edge\1960.png
datasets\waterDataSet\imgAug\2608.jpeg datasets\waterDataSet\labelAug\2608.png datasets\waterDataSet\edge\2608.png
datasets\waterDataSet\imgAug\4161.jpeg datasets\waterDataSet\labelAug\4161.png datasets\waterDataSet\edge\4161.png
datasets\waterDataSet\imgAug\695.jpeg datasets\waterDataSet\labelAug\695.png datasets\waterDataSet\edge\695.png
datasets\waterDataSet\imgAug\867.jpeg datasets\waterDataSet\labelAug\867.png datasets\waterDataSet\edge\867.png
datasets\waterDataSet\imgAug\3675.jpeg datasets\waterDataSet\labelAug\3675.png datasets\waterDataSet\edge\3675.png
datasets\waterDataSet\imgAug\1147.jpeg datasets\waterDataSet\labelAug\1147.png datasets\waterDataSet\edge\1147.png
datasets\waterDataSet\imgAug\2501.jpeg datasets\waterDataSet\labelAug\2501.png datasets\waterDataSet\edge\2501.png
datasets\waterDataSet\imgAug\3442.jpeg datasets\waterDataSet\labelAug\3442.png datasets\waterDataSet\edge\3442.png
datasets\waterDataSet\imgAug\1234.jpeg datasets\waterDataSet\labelAug\1234.png datasets\waterDataSet\edge\1234.png
datasets\waterDataSet\imgAug\914.jpeg datasets\waterDataSet\labelAug\914.png datasets\waterDataSet\edge\914.png
datasets\waterDataSet\imgAug\4176.jpeg datasets\waterDataSet\labelAug\4176.png datasets\waterDataSet\edge\4176.png
datasets\waterDataSet\imgAug\2993.jpeg datasets\waterDataSet\labelAug\2993.png datasets\waterDataSet\edge\2993.png
datasets\waterDataSet\imgAug\4093.jpeg datasets\waterDataSet\labelAug\4093.png datasets\waterDataSet\edge\4093.png
datasets\waterDataSet\imgAug\378.jpeg datasets\waterDataSet\labelAug\378.png datasets\waterDataSet\edge\378.png
datasets\waterDataSet\imgAug\2337.jpeg datasets\waterDataSet\labelAug\2337.png datasets\waterDataSet\edge\2337.png
datasets\waterDataSet\imgAug\146.jpeg datasets\waterDataSet\labelAug\146.png datasets\waterDataSet\edge\146.png
datasets\waterDataSet\imgAug\329.jpeg datasets\waterDataSet\labelAug\329.png datasets\waterDataSet\edge\329.png
datasets\waterDataSet\imgAug\171.jpeg datasets\waterDataSet\labelAug\171.png datasets\waterDataSet\edge\171.png
datasets\waterDataSet\imgAug\2048.jpeg datasets\waterDataSet\labelAug\2048.png datasets\waterDataSet\edge\2048.png
datasets\waterDataSet\imgAug\2691.jpeg datasets\waterDataSet\labelAug\2691.png datasets\waterDataSet\edge\2691.png
datasets\waterDataSet\imgAug\3093.jpeg datasets\waterDataSet\labelAug\3093.png datasets\waterDataSet\edge\3093.png
datasets\waterDataSet\imgAug\4243.jpeg datasets\waterDataSet\labelAug\4243.png datasets\waterDataSet\edge\4243.png
datasets\waterDataSet\imgAug\138.jpeg datasets\waterDataSet\labelAug\138.png datasets\waterDataSet\edge\138.png
datasets\waterDataSet\imgAug\1119.jpeg datasets\waterDataSet\labelAug\1119.png datasets\waterDataSet\edge\1119.png
datasets\waterDataSet\imgAug\3968.jpeg datasets\waterDataSet\labelAug\3968.png datasets\waterDataSet\edge\3968.png
datasets\waterDataSet\imgAug\2899.jpeg datasets\waterDataSet\labelAug\2899.png datasets\waterDataSet\edge\2899.png
datasets\waterDataSet\imgAug\3485.jpeg datasets\waterDataSet\labelAug\3485.png datasets\waterDataSet\edge\3485.png
datasets\waterDataSet\imgAug\4712.jpeg datasets\waterDataSet\labelAug\4712.png datasets\waterDataSet\edge\4712.png
datasets\waterDataSet\imgAug\2981.jpeg datasets\waterDataSet\labelAug\2981.png datasets\waterDataSet\edge\2981.png
datasets\waterDataSet\imgAug\427.jpeg datasets\waterDataSet\labelAug\427.png datasets\waterDataSet\edge\427.png
datasets\waterDataSet\imgAug\2234.jpeg datasets\waterDataSet\labelAug\2234.png datasets\waterDataSet\edge\2234.png
datasets\waterDataSet\imgAug\4943.jpeg datasets\waterDataSet\labelAug\4943.png datasets\waterDataSet\edge\4943.png
datasets\waterDataSet\imgAug\885.jpeg datasets\waterDataSet\labelAug\885.png datasets\waterDataSet\edge\885.png
datasets\waterDataSet\imgAug\3086.jpeg datasets\waterDataSet\labelAug\3086.png datasets\waterDataSet\edge\3086.png
datasets\waterDataSet\imgAug\929.jpeg datasets\waterDataSet\labelAug\929.png datasets\waterDataSet\edge\929.png
datasets\waterDataSet\imgAug\4510.jpeg datasets\waterDataSet\labelAug\4510.png datasets\waterDataSet\edge\4510.png
datasets\waterDataSet\imgAug\3359.jpeg datasets\waterDataSet\labelAug\3359.png datasets\waterDataSet\edge\3359.png
datasets\waterDataSet\imgAug\2079.jpeg datasets\waterDataSet\labelAug\2079.png datasets\waterDataSet\edge\2079.png
datasets\waterDataSet\imgAug\3510.jpeg datasets\waterDataSet\labelAug\3510.png datasets\waterDataSet\edge\3510.png
datasets\waterDataSet\imgAug\2111.jpeg datasets\waterDataSet\labelAug\2111.png datasets\waterDataSet\edge\2111.png
datasets\waterDataSet\imgAug\921.jpeg datasets\waterDataSet\labelAug\921.png datasets\waterDataSet\edge\921.png
datasets\waterDataSet\imgAug\981.jpeg datasets\waterDataSet\labelAug\981.png datasets\waterDataSet\edge\981.png
datasets\waterDataSet\imgAug\2666.jpeg datasets\waterDataSet\labelAug\2666.png datasets\waterDataSet\edge\2666.png
datasets\waterDataSet\imgAug\762.jpeg datasets\waterDataSet\labelAug\762.png datasets\waterDataSet\edge\762.png
datasets\waterDataSet\imgAug\3343.jpeg datasets\waterDataSet\labelAug\3343.png datasets\waterDataSet\edge\3343.png
datasets\waterDataSet\imgAug\2131.jpeg datasets\waterDataSet\labelAug\2131.png datasets\waterDataSet\edge\2131.png
datasets\waterDataSet\imgAug\1183.jpeg datasets\waterDataSet\labelAug\1183.png datasets\waterDataSet\edge\1183.png
datasets\waterDataSet\imgAug\3008.jpeg datasets\waterDataSet\labelAug\3008.png datasets\waterDataSet\edge\3008.png
datasets\waterDataSet\imgAug\163.jpeg datasets\waterDataSet\labelAug\163.png datasets\waterDataSet\edge\163.png
datasets\waterDataSet\imgAug\1444.jpeg datasets\waterDataSet\labelAug\1444.png datasets\waterDataSet\edge\1444.png
datasets\waterDataSet\imgAug\419.jpeg datasets\waterDataSet\labelAug\419.png datasets\waterDataSet\edge\419.png
datasets\waterDataSet\imgAug\2849.jpeg datasets\waterDataSet\labelAug\2849.png datasets\waterDataSet\edge\2849.png
datasets\waterDataSet\imgAug\732.jpeg datasets\waterDataSet\labelAug\732.png datasets\waterDataSet\edge\732.png
datasets\waterDataSet\imgAug\805.jpeg datasets\waterDataSet\labelAug\805.png datasets\waterDataSet\edge\805.png
datasets\waterDataSet\imgAug\733.jpeg datasets\waterDataSet\labelAug\733.png datasets\waterDataSet\edge\733.png
datasets\waterDataSet\imgAug\799.jpeg datasets\waterDataSet\labelAug\799.png datasets\waterDataSet\edge\799.png
datasets\waterDataSet\imgAug\4742.jpeg datasets\waterDataSet\labelAug\4742.png datasets\waterDataSet\edge\4742.png
datasets\waterDataSet\imgAug\2143.jpeg datasets\waterDataSet\labelAug\2143.png datasets\waterDataSet\edge\2143.png
datasets\waterDataSet\imgAug\4302.jpeg datasets\waterDataSet\labelAug\4302.png datasets\waterDataSet\edge\4302.png
datasets\waterDataSet\imgAug\2517.jpeg datasets\waterDataSet\labelAug\2517.png datasets\waterDataSet\edge\2517.png
datasets\waterDataSet\imgAug\261.jpeg datasets\waterDataSet\labelAug\261.png datasets\waterDataSet\edge\261.png
datasets\waterDataSet\imgAug\3329.jpeg datasets\waterDataSet\labelAug\3329.png datasets\waterDataSet\edge\3329.png
datasets\waterDataSet\imgAug\4346.jpeg datasets\waterDataSet\labelAug\4346.png datasets\waterDataSet\edge\4346.png
datasets\waterDataSet\imgAug\153.jpeg datasets\waterDataSet\labelAug\153.png datasets\waterDataSet\edge\153.png
datasets\waterDataSet\imgAug\1428.jpeg datasets\waterDataSet\labelAug\1428.png datasets\waterDataSet\edge\1428.png
datasets\waterDataSet\imgAug\220.jpeg datasets\waterDataSet\labelAug\220.png datasets\waterDataSet\edge\220.png
datasets\waterDataSet\imgAug\1642.jpeg datasets\waterDataSet\labelAug\1642.png datasets\waterDataSet\edge\1642.png
datasets\waterDataSet\imgAug\229.jpeg datasets\waterDataSet\labelAug\229.png datasets\waterDataSet\edge\229.png
datasets\waterDataSet\imgAug\2786.jpeg datasets\waterDataSet\labelAug\2786.png datasets\waterDataSet\edge\2786.png
datasets\waterDataSet\imgAug\2383.jpeg datasets\waterDataSet\labelAug\2383.png datasets\waterDataSet\edge\2383.png
datasets\waterDataSet\imgAug\1897.jpeg datasets\waterDataSet\labelAug\1897.png datasets\waterDataSet\edge\1897.png
datasets\waterDataSet\imgAug\2147.jpeg datasets\waterDataSet\labelAug\2147.png datasets\waterDataSet\edge\2147.png
datasets\waterDataSet\imgAug\813.jpeg datasets\waterDataSet\labelAug\813.png datasets\waterDataSet\edge\813.png
datasets\waterDataSet\imgAug\2042.jpeg datasets\waterDataSet\labelAug\2042.png datasets\waterDataSet\edge\2042.png
datasets\waterDataSet\imgAug\3976.jpeg datasets\waterDataSet\labelAug\3976.png datasets\waterDataSet\edge\3976.png
datasets\waterDataSet\imgAug\1570.jpeg datasets\waterDataSet\labelAug\1570.png datasets\waterDataSet\edge\1570.png
datasets\waterDataSet\imgAug\1512.jpeg datasets\waterDataSet\labelAug\1512.png datasets\waterDataSet\edge\1512.png
datasets\waterDataSet\imgAug\159.jpeg datasets\waterDataSet\labelAug\159.png datasets\waterDataSet\edge\159.png
datasets\waterDataSet\imgAug\1168.jpeg datasets\waterDataSet\labelAug\1168.png datasets\waterDataSet\edge\1168.png
datasets\waterDataSet\imgAug\3472.jpeg datasets\waterDataSet\labelAug\3472.png datasets\waterDataSet\edge\3472.png
datasets\waterDataSet\imgAug\2588.jpeg datasets\waterDataSet\labelAug\2588.png datasets\waterDataSet\edge\2588.png
datasets\waterDataSet\imgAug\317.jpeg datasets\waterDataSet\labelAug\317.png datasets\waterDataSet\edge\317.png
datasets\waterDataSet\imgAug\377.jpeg datasets\waterDataSet\labelAug\377.png datasets\waterDataSet\edge\377.png
datasets\waterDataSet\imgAug\1359.jpeg datasets\waterDataSet\labelAug\1359.png datasets\waterDataSet\edge\1359.png
datasets\waterDataSet\imgAug\4467.jpeg datasets\waterDataSet\labelAug\4467.png datasets\waterDataSet\edge\4467.png
datasets\waterDataSet\imgAug\3014.jpeg datasets\waterDataSet\labelAug\3014.png datasets\waterDataSet\edge\3014.png
datasets\waterDataSet\imgAug\2261.jpeg datasets\waterDataSet\labelAug\2261.png datasets\waterDataSet\edge\2261.png
datasets\waterDataSet\imgAug\4628.jpeg datasets\waterDataSet\labelAug\4628.png datasets\waterDataSet\edge\4628.png
datasets\waterDataSet\imgAug\2780.jpeg datasets\waterDataSet\labelAug\2780.png datasets\waterDataSet\edge\2780.png
datasets\waterDataSet\imgAug\1200.jpeg datasets\waterDataSet\labelAug\1200.png datasets\waterDataSet\edge\1200.png
datasets\waterDataSet\imgAug\3144.jpeg datasets\waterDataSet\labelAug\3144.png datasets\waterDataSet\edge\3144.png
datasets\waterDataSet\imgAug\4749.jpeg datasets\waterDataSet\labelAug\4749.png datasets\waterDataSet\edge\4749.png
datasets\waterDataSet\imgAug\3293.jpeg datasets\waterDataSet\labelAug\3293.png datasets\waterDataSet\edge\3293.png
datasets\waterDataSet\imgAug\1323.jpeg datasets\waterDataSet\labelAug\1323.png datasets\waterDataSet\edge\1323.png
