datasets\buildings\image\3463.png datasets\buildings\label2_gray\3463.png datasets\buildings\edge\3463.png
datasets\buildings\image\698.png datasets\buildings\label2_gray\698.png datasets\buildings\edge\698.png
datasets\buildings\image\5299.png datasets\buildings\label2_gray\5299.png datasets\buildings\edge\5299.png
datasets\buildings\image\2841.png datasets\buildings\label2_gray\2841.png datasets\buildings\edge\2841.png
datasets\buildings\image\1632.png datasets\buildings\label2_gray\1632.png datasets\buildings\edge\1632.png
datasets\buildings\image\2266.png datasets\buildings\label2_gray\2266.png datasets\buildings\edge\2266.png
datasets\buildings\image\5812.png datasets\buildings\label2_gray\5812.png datasets\buildings\edge\5812.png
datasets\buildings\image\3599.png datasets\buildings\label2_gray\3599.png datasets\buildings\edge\3599.png
datasets\buildings\image\4076.png datasets\buildings\label2_gray\4076.png datasets\buildings\edge\4076.png
datasets\buildings\image\4148.png datasets\buildings\label2_gray\4148.png datasets\buildings\edge\4148.png
datasets\buildings\image\5250.png datasets\buildings\label2_gray\5250.png datasets\buildings\edge\5250.png
datasets\buildings\image\4318.png datasets\buildings\label2_gray\4318.png datasets\buildings\edge\4318.png
datasets\buildings\image\589.png datasets\buildings\label2_gray\589.png datasets\buildings\edge\589.png
datasets\buildings\image\301.png datasets\buildings\label2_gray\301.png datasets\buildings\edge\301.png
datasets\buildings\image\566.png datasets\buildings\label2_gray\566.png datasets\buildings\edge\566.png
datasets\buildings\image\2002.png datasets\buildings\label2_gray\2002.png datasets\buildings\edge\2002.png
datasets\buildings\image\433.png datasets\buildings\label2_gray\433.png datasets\buildings\edge\433.png
datasets\buildings\image\677.png datasets\buildings\label2_gray\677.png datasets\buildings\edge\677.png
datasets\buildings\image\1077.png datasets\buildings\label2_gray\1077.png datasets\buildings\edge\1077.png
datasets\buildings\image\4739.png datasets\buildings\label2_gray\4739.png datasets\buildings\edge\4739.png
datasets\buildings\image\5708.png datasets\buildings\label2_gray\5708.png datasets\buildings\edge\5708.png
datasets\buildings\image\4526.png datasets\buildings\label2_gray\4526.png datasets\buildings\edge\4526.png
datasets\buildings\image\5711.png datasets\buildings\label2_gray\5711.png datasets\buildings\edge\5711.png
datasets\buildings\image\2759.png datasets\buildings\label2_gray\2759.png datasets\buildings\edge\2759.png
datasets\buildings\image\4617.png datasets\buildings\label2_gray\4617.png datasets\buildings\edge\4617.png
datasets\buildings\image\4618.png datasets\buildings\label2_gray\4618.png datasets\buildings\edge\4618.png
datasets\buildings\image\3417.png datasets\buildings\label2_gray\3417.png datasets\buildings\edge\3417.png
datasets\buildings\image\5596.png datasets\buildings\label2_gray\5596.png datasets\buildings\edge\5596.png
datasets\buildings\image\479.png datasets\buildings\label2_gray\479.png datasets\buildings\edge\479.png
datasets\buildings\image\3542.png datasets\buildings\label2_gray\3542.png datasets\buildings\edge\3542.png
datasets\buildings\image\465.png datasets\buildings\label2_gray\465.png datasets\buildings\edge\465.png
datasets\buildings\image\3501.png datasets\buildings\label2_gray\3501.png datasets\buildings\edge\3501.png
datasets\buildings\image\2125.png datasets\buildings\label2_gray\2125.png datasets\buildings\edge\2125.png
datasets\buildings\image\2193.png datasets\buildings\label2_gray\2193.png datasets\buildings\edge\2193.png
datasets\buildings\image\5628.png datasets\buildings\label2_gray\5628.png datasets\buildings\edge\5628.png
datasets\buildings\image\3300.png datasets\buildings\label2_gray\3300.png datasets\buildings\edge\3300.png
datasets\buildings\image\2305.png datasets\buildings\label2_gray\2305.png datasets\buildings\edge\2305.png
datasets\buildings\image\4555.png datasets\buildings\label2_gray\4555.png datasets\buildings\edge\4555.png
datasets\buildings\image\2873.png datasets\buildings\label2_gray\2873.png datasets\buildings\edge\2873.png
datasets\buildings\image\565.png datasets\buildings\label2_gray\565.png datasets\buildings\edge\565.png
datasets\buildings\image\2196.png datasets\buildings\label2_gray\2196.png datasets\buildings\edge\2196.png
datasets\buildings\image\2353.png datasets\buildings\label2_gray\2353.png datasets\buildings\edge\2353.png
datasets\buildings\image\1935.png datasets\buildings\label2_gray\1935.png datasets\buildings\edge\1935.png
datasets\buildings\image\767.png datasets\buildings\label2_gray\767.png datasets\buildings\edge\767.png
datasets\buildings\image\4594.png datasets\buildings\label2_gray\4594.png datasets\buildings\edge\4594.png
datasets\buildings\image\2578.png datasets\buildings\label2_gray\2578.png datasets\buildings\edge\2578.png
datasets\buildings\image\1636.png datasets\buildings\label2_gray\1636.png datasets\buildings\edge\1636.png
datasets\buildings\image\2668.png datasets\buildings\label2_gray\2668.png datasets\buildings\edge\2668.png
datasets\buildings\image\888.png datasets\buildings\label2_gray\888.png datasets\buildings\edge\888.png
datasets\buildings\image\845.png datasets\buildings\label2_gray\845.png datasets\buildings\edge\845.png
datasets\buildings\image\2178.png datasets\buildings\label2_gray\2178.png datasets\buildings\edge\2178.png
datasets\buildings\image\24.png datasets\buildings\label2_gray\24.png datasets\buildings\edge\24.png
datasets\buildings\image\772.png datasets\buildings\label2_gray\772.png datasets\buildings\edge\772.png
datasets\buildings\image\529.png datasets\buildings\label2_gray\529.png datasets\buildings\edge\529.png
datasets\buildings\image\4287.png datasets\buildings\label2_gray\4287.png datasets\buildings\edge\4287.png
datasets\buildings\image\5620.png datasets\buildings\label2_gray\5620.png datasets\buildings\edge\5620.png
datasets\buildings\image\3692.png datasets\buildings\label2_gray\3692.png datasets\buildings\edge\3692.png
datasets\buildings\image\4883.png datasets\buildings\label2_gray\4883.png datasets\buildings\edge\4883.png
datasets\buildings\image\2395.png datasets\buildings\label2_gray\2395.png datasets\buildings\edge\2395.png
datasets\buildings\image\4573.png datasets\buildings\label2_gray\4573.png datasets\buildings\edge\4573.png
datasets\buildings\image\5396.png datasets\buildings\label2_gray\5396.png datasets\buildings\edge\5396.png
datasets\buildings\image\3873.png datasets\buildings\label2_gray\3873.png datasets\buildings\edge\3873.png
datasets\buildings\image\2986.png datasets\buildings\label2_gray\2986.png datasets\buildings\edge\2986.png
datasets\buildings\image\4575.png datasets\buildings\label2_gray\4575.png datasets\buildings\edge\4575.png
datasets\buildings\image\1567.png datasets\buildings\label2_gray\1567.png datasets\buildings\edge\1567.png
datasets\buildings\image\2229.png datasets\buildings\label2_gray\2229.png datasets\buildings\edge\2229.png
datasets\buildings\image\2240.png datasets\buildings\label2_gray\2240.png datasets\buildings\edge\2240.png
datasets\buildings\image\4034.png datasets\buildings\label2_gray\4034.png datasets\buildings\edge\4034.png
datasets\buildings\image\3438.png datasets\buildings\label2_gray\3438.png datasets\buildings\edge\3438.png
datasets\buildings\image\1449.png datasets\buildings\label2_gray\1449.png datasets\buildings\edge\1449.png
datasets\buildings\image\2183.png datasets\buildings\label2_gray\2183.png datasets\buildings\edge\2183.png
datasets\buildings\image\1746.png datasets\buildings\label2_gray\1746.png datasets\buildings\edge\1746.png
datasets\buildings\image\1106.png datasets\buildings\label2_gray\1106.png datasets\buildings\edge\1106.png
datasets\buildings\image\2038.png datasets\buildings\label2_gray\2038.png datasets\buildings\edge\2038.png
datasets\buildings\image\422.png datasets\buildings\label2_gray\422.png datasets\buildings\edge\422.png
datasets\buildings\image\3739.png datasets\buildings\label2_gray\3739.png datasets\buildings\edge\3739.png
datasets\buildings\image\4317.png datasets\buildings\label2_gray\4317.png datasets\buildings\edge\4317.png
datasets\buildings\image\5818.png datasets\buildings\label2_gray\5818.png datasets\buildings\edge\5818.png
datasets\buildings\image\2855.png datasets\buildings\label2_gray\2855.png datasets\buildings\edge\2855.png
datasets\buildings\image\250.png datasets\buildings\label2_gray\250.png datasets\buildings\edge\250.png
datasets\buildings\image\786.png datasets\buildings\label2_gray\786.png datasets\buildings\edge\786.png
datasets\buildings\image\3922.png datasets\buildings\label2_gray\3922.png datasets\buildings\edge\3922.png
datasets\buildings\image\1016.png datasets\buildings\label2_gray\1016.png datasets\buildings\edge\1016.png
datasets\buildings\image\5748.png datasets\buildings\label2_gray\5748.png datasets\buildings\edge\5748.png
datasets\buildings\image\5522.png datasets\buildings\label2_gray\5522.png datasets\buildings\edge\5522.png
datasets\buildings\image\5642.png datasets\buildings\label2_gray\5642.png datasets\buildings\edge\5642.png
datasets\buildings\image\858.png datasets\buildings\label2_gray\858.png datasets\buildings\edge\858.png
datasets\buildings\image\4457.png datasets\buildings\label2_gray\4457.png datasets\buildings\edge\4457.png
datasets\buildings\image\4346.png datasets\buildings\label2_gray\4346.png datasets\buildings\edge\4346.png
datasets\buildings\image\628.png datasets\buildings\label2_gray\628.png datasets\buildings\edge\628.png
datasets\buildings\image\807.png datasets\buildings\label2_gray\807.png datasets\buildings\edge\807.png
datasets\buildings\image\288.png datasets\buildings\label2_gray\288.png datasets\buildings\edge\288.png
datasets\buildings\image\595.png datasets\buildings\label2_gray\595.png datasets\buildings\edge\595.png
datasets\buildings\image\14.png datasets\buildings\label2_gray\14.png datasets\buildings\edge\14.png
datasets\buildings\image\1262.png datasets\buildings\label2_gray\1262.png datasets\buildings\edge\1262.png
datasets\buildings\image\1804.png datasets\buildings\label2_gray\1804.png datasets\buildings\edge\1804.png
datasets\buildings\image\2728.png datasets\buildings\label2_gray\2728.png datasets\buildings\edge\2728.png
datasets\buildings\image\4160.png datasets\buildings\label2_gray\4160.png datasets\buildings\edge\4160.png
datasets\buildings\image\2725.png datasets\buildings\label2_gray\2725.png datasets\buildings\edge\2725.png
datasets\buildings\image\3441.png datasets\buildings\label2_gray\3441.png datasets\buildings\edge\3441.png
datasets\buildings\image\2011.png datasets\buildings\label2_gray\2011.png datasets\buildings\edge\2011.png
datasets\buildings\image\4742.png datasets\buildings\label2_gray\4742.png datasets\buildings\edge\4742.png
datasets\buildings\image\2733.png datasets\buildings\label2_gray\2733.png datasets\buildings\edge\2733.png
datasets\buildings\image\832.png datasets\buildings\label2_gray\832.png datasets\buildings\edge\832.png
datasets\buildings\image\569.png datasets\buildings\label2_gray\569.png datasets\buildings\edge\569.png
datasets\buildings\image\1328.png datasets\buildings\label2_gray\1328.png datasets\buildings\edge\1328.png
datasets\buildings\image\4692.png datasets\buildings\label2_gray\4692.png datasets\buildings\edge\4692.png
datasets\buildings\image\687.png datasets\buildings\label2_gray\687.png datasets\buildings\edge\687.png
datasets\buildings\image\4289.png datasets\buildings\label2_gray\4289.png datasets\buildings\edge\4289.png
datasets\buildings\image\1309.png datasets\buildings\label2_gray\1309.png datasets\buildings\edge\1309.png
datasets\buildings\image\1385.png datasets\buildings\label2_gray\1385.png datasets\buildings\edge\1385.png
datasets\buildings\image\1607.png datasets\buildings\label2_gray\1607.png datasets\buildings\edge\1607.png
datasets\buildings\image\2815.png datasets\buildings\label2_gray\2815.png datasets\buildings\edge\2815.png
datasets\buildings\image\4329.png datasets\buildings\label2_gray\4329.png datasets\buildings\edge\4329.png
datasets\buildings\image\646.png datasets\buildings\label2_gray\646.png datasets\buildings\edge\646.png
datasets\buildings\image\2879.png datasets\buildings\label2_gray\2879.png datasets\buildings\edge\2879.png
datasets\buildings\image\1495.png datasets\buildings\label2_gray\1495.png datasets\buildings\edge\1495.png
datasets\buildings\image\3449.png datasets\buildings\label2_gray\3449.png datasets\buildings\edge\3449.png
datasets\buildings\image\218.png datasets\buildings\label2_gray\218.png datasets\buildings\edge\218.png
datasets\buildings\image\3476.png datasets\buildings\label2_gray\3476.png datasets\buildings\edge\3476.png
datasets\buildings\image\155.png datasets\buildings\label2_gray\155.png datasets\buildings\edge\155.png
datasets\buildings\image\3940.png datasets\buildings\label2_gray\3940.png datasets\buildings\edge\3940.png
datasets\buildings\image\2269.png datasets\buildings\label2_gray\2269.png datasets\buildings\edge\2269.png
datasets\buildings\image\3222.png datasets\buildings\label2_gray\3222.png datasets\buildings\edge\3222.png
datasets\buildings\image\5886.png datasets\buildings\label2_gray\5886.png datasets\buildings\edge\5886.png
datasets\buildings\image\762.png datasets\buildings\label2_gray\762.png datasets\buildings\edge\762.png
datasets\buildings\image\563.png datasets\buildings\label2_gray\563.png datasets\buildings\edge\563.png
datasets\buildings\image\351.png datasets\buildings\label2_gray\351.png datasets\buildings\edge\351.png
datasets\buildings\image\4364.png datasets\buildings\label2_gray\4364.png datasets\buildings\edge\4364.png
datasets\buildings\image\4826.png datasets\buildings\label2_gray\4826.png datasets\buildings\edge\4826.png
datasets\buildings\image\2072.png datasets\buildings\label2_gray\2072.png datasets\buildings\edge\2072.png
datasets\buildings\image\3004.png datasets\buildings\label2_gray\3004.png datasets\buildings\edge\3004.png
datasets\buildings\image\2058.png datasets\buildings\label2_gray\2058.png datasets\buildings\edge\2058.png
datasets\buildings\image\1018.png datasets\buildings\label2_gray\1018.png datasets\buildings\edge\1018.png
datasets\buildings\image\834.png datasets\buildings\label2_gray\834.png datasets\buildings\edge\834.png
datasets\buildings\image\3686.png datasets\buildings\label2_gray\3686.png datasets\buildings\edge\3686.png
datasets\buildings\image\5304.png datasets\buildings\label2_gray\5304.png datasets\buildings\edge\5304.png
datasets\buildings\image\1344.png datasets\buildings\label2_gray\1344.png datasets\buildings\edge\1344.png
datasets\buildings\image\3171.png datasets\buildings\label2_gray\3171.png datasets\buildings\edge\3171.png
datasets\buildings\image\2698.png datasets\buildings\label2_gray\2698.png datasets\buildings\edge\2698.png
datasets\buildings\image\2917.png datasets\buildings\label2_gray\2917.png datasets\buildings\edge\2917.png
datasets\buildings\image\3261.png datasets\buildings\label2_gray\3261.png datasets\buildings\edge\3261.png
datasets\buildings\image\5744.png datasets\buildings\label2_gray\5744.png datasets\buildings\edge\5744.png
datasets\buildings\image\1410.png datasets\buildings\label2_gray\1410.png datasets\buildings\edge\1410.png
datasets\buildings\image\3637.png datasets\buildings\label2_gray\3637.png datasets\buildings\edge\3637.png
datasets\buildings\image\1024.png datasets\buildings\label2_gray\1024.png datasets\buildings\edge\1024.png
datasets\buildings\image\1725.png datasets\buildings\label2_gray\1725.png datasets\buildings\edge\1725.png
datasets\buildings\image\4244.png datasets\buildings\label2_gray\4244.png datasets\buildings\edge\4244.png
datasets\buildings\image\581.png datasets\buildings\label2_gray\581.png datasets\buildings\edge\581.png
datasets\buildings\image\4561.png datasets\buildings\label2_gray\4561.png datasets\buildings\edge\4561.png
datasets\buildings\image\5683.png datasets\buildings\label2_gray\5683.png datasets\buildings\edge\5683.png
datasets\buildings\image\2807.png datasets\buildings\label2_gray\2807.png datasets\buildings\edge\2807.png
datasets\buildings\image\4803.png datasets\buildings\label2_gray\4803.png datasets\buildings\edge\4803.png
datasets\buildings\image\3370.png datasets\buildings\label2_gray\3370.png datasets\buildings\edge\3370.png
datasets\buildings\image\4482.png datasets\buildings\label2_gray\4482.png datasets\buildings\edge\4482.png
datasets\buildings\image\3249.png datasets\buildings\label2_gray\3249.png datasets\buildings\edge\3249.png
datasets\buildings\image\2143.png datasets\buildings\label2_gray\2143.png datasets\buildings\edge\2143.png
datasets\buildings\image\2020.png datasets\buildings\label2_gray\2020.png datasets\buildings\edge\2020.png
datasets\buildings\image\242.png datasets\buildings\label2_gray\242.png datasets\buildings\edge\242.png
datasets\buildings\image\3009.png datasets\buildings\label2_gray\3009.png datasets\buildings\edge\3009.png
datasets\buildings\image\5267.png datasets\buildings\label2_gray\5267.png datasets\buildings\edge\5267.png
datasets\buildings\image\4017.png datasets\buildings\label2_gray\4017.png datasets\buildings\edge\4017.png
datasets\buildings\image\3869.png datasets\buildings\label2_gray\3869.png datasets\buildings\edge\3869.png
datasets\buildings\image\3833.png datasets\buildings\label2_gray\3833.png datasets\buildings\edge\3833.png
datasets\buildings\image\1982.png datasets\buildings\label2_gray\1982.png datasets\buildings\edge\1982.png
datasets\buildings\image\3246.png datasets\buildings\label2_gray\3246.png datasets\buildings\edge\3246.png
datasets\buildings\image\1161.png datasets\buildings\label2_gray\1161.png datasets\buildings\edge\1161.png
datasets\buildings\image\4585.png datasets\buildings\label2_gray\4585.png datasets\buildings\edge\4585.png
datasets\buildings\image\4977.png datasets\buildings\label2_gray\4977.png datasets\buildings\edge\4977.png
datasets\buildings\image\4649.png datasets\buildings\label2_gray\4649.png datasets\buildings\edge\4649.png
datasets\buildings\image\2953.png datasets\buildings\label2_gray\2953.png datasets\buildings\edge\2953.png
datasets\buildings\image\4804.png datasets\buildings\label2_gray\4804.png datasets\buildings\edge\4804.png
datasets\buildings\image\4432.png datasets\buildings\label2_gray\4432.png datasets\buildings\edge\4432.png
datasets\buildings\image\483.png datasets\buildings\label2_gray\483.png datasets\buildings\edge\483.png
datasets\buildings\image\3928.png datasets\buildings\label2_gray\3928.png datasets\buildings\edge\3928.png
datasets\buildings\image\2164.png datasets\buildings\label2_gray\2164.png datasets\buildings\edge\2164.png
datasets\buildings\image\5324.png datasets\buildings\label2_gray\5324.png datasets\buildings\edge\5324.png
datasets\buildings\image\1926.png datasets\buildings\label2_gray\1926.png datasets\buildings\edge\1926.png
datasets\buildings\image\1393.png datasets\buildings\label2_gray\1393.png datasets\buildings\edge\1393.png
datasets\buildings\image\92.png datasets\buildings\label2_gray\92.png datasets\buildings\edge\92.png
datasets\buildings\image\5446.png datasets\buildings\label2_gray\5446.png datasets\buildings\edge\5446.png
datasets\buildings\image\5448.png datasets\buildings\label2_gray\5448.png datasets\buildings\edge\5448.png
datasets\buildings\image\4651.png datasets\buildings\label2_gray\4651.png datasets\buildings\edge\4651.png
datasets\buildings\image\3735.png datasets\buildings\label2_gray\3735.png datasets\buildings\edge\3735.png
datasets\buildings\image\3369.png datasets\buildings\label2_gray\3369.png datasets\buildings\edge\3369.png
datasets\buildings\image\3337.png datasets\buildings\label2_gray\3337.png datasets\buildings\edge\3337.png
datasets\buildings\image\3753.png datasets\buildings\label2_gray\3753.png datasets\buildings\edge\3753.png
datasets\buildings\image\3105.png datasets\buildings\label2_gray\3105.png datasets\buildings\edge\3105.png
datasets\buildings\image\2480.png datasets\buildings\label2_gray\2480.png datasets\buildings\edge\2480.png
datasets\buildings\image\5666.png datasets\buildings\label2_gray\5666.png datasets\buildings\edge\5666.png
datasets\buildings\image\5042.png datasets\buildings\label2_gray\5042.png datasets\buildings\edge\5042.png
datasets\buildings\image\5575.png datasets\buildings\label2_gray\5575.png datasets\buildings\edge\5575.png
datasets\buildings\image\693.png datasets\buildings\label2_gray\693.png datasets\buildings\edge\693.png
datasets\buildings\image\4906.png datasets\buildings\label2_gray\4906.png datasets\buildings\edge\4906.png
datasets\buildings\image\2161.png datasets\buildings\label2_gray\2161.png datasets\buildings\edge\2161.png
datasets\buildings\image\1729.png datasets\buildings\label2_gray\1729.png datasets\buildings\edge\1729.png
datasets\buildings\image\2503.png datasets\buildings\label2_gray\2503.png datasets\buildings\edge\2503.png
datasets\buildings\image\859.png datasets\buildings\label2_gray\859.png datasets\buildings\edge\859.png
datasets\buildings\image\229.png datasets\buildings\label2_gray\229.png datasets\buildings\edge\229.png
datasets\buildings\image\3743.png datasets\buildings\label2_gray\3743.png datasets\buildings\edge\3743.png
datasets\buildings\image\2336.png datasets\buildings\label2_gray\2336.png datasets\buildings\edge\2336.png
datasets\buildings\image\1236.png datasets\buildings\label2_gray\1236.png datasets\buildings\edge\1236.png
datasets\buildings\image\2437.png datasets\buildings\label2_gray\2437.png datasets\buildings\edge\2437.png
datasets\buildings\image\1657.png datasets\buildings\label2_gray\1657.png datasets\buildings\edge\1657.png
datasets\buildings\image\2403.png datasets\buildings\label2_gray\2403.png datasets\buildings\edge\2403.png
datasets\buildings\image\3365.png datasets\buildings\label2_gray\3365.png datasets\buildings\edge\3365.png
datasets\buildings\image\4298.png datasets\buildings\label2_gray\4298.png datasets\buildings\edge\4298.png
datasets\buildings\image\3251.png datasets\buildings\label2_gray\3251.png datasets\buildings\edge\3251.png
datasets\buildings\image\4121.png datasets\buildings\label2_gray\4121.png datasets\buildings\edge\4121.png
datasets\buildings\image\4387.png datasets\buildings\label2_gray\4387.png datasets\buildings\edge\4387.png
datasets\buildings\image\1179.png datasets\buildings\label2_gray\1179.png datasets\buildings\edge\1179.png
datasets\buildings\image\5161.png datasets\buildings\label2_gray\5161.png datasets\buildings\edge\5161.png
datasets\buildings\image\1586.png datasets\buildings\label2_gray\1586.png datasets\buildings\edge\1586.png
datasets\buildings\image\4313.png datasets\buildings\label2_gray\4313.png datasets\buildings\edge\4313.png
datasets\buildings\image\4213.png datasets\buildings\label2_gray\4213.png datasets\buildings\edge\4213.png
datasets\buildings\image\1800.png datasets\buildings\label2_gray\1800.png datasets\buildings\edge\1800.png
datasets\buildings\image\4847.png datasets\buildings\label2_gray\4847.png datasets\buildings\edge\4847.png
datasets\buildings\image\1388.png datasets\buildings\label2_gray\1388.png datasets\buildings\edge\1388.png
datasets\buildings\image\5004.png datasets\buildings\label2_gray\5004.png datasets\buildings\edge\5004.png
datasets\buildings\image\2916.png datasets\buildings\label2_gray\2916.png datasets\buildings\edge\2916.png
datasets\buildings\image\937.png datasets\buildings\label2_gray\937.png datasets\buildings\edge\937.png
datasets\buildings\image\4335.png datasets\buildings\label2_gray\4335.png datasets\buildings\edge\4335.png
datasets\buildings\image\3866.png datasets\buildings\label2_gray\3866.png datasets\buildings\edge\3866.png
datasets\buildings\image\4010.png datasets\buildings\label2_gray\4010.png datasets\buildings\edge\4010.png
datasets\buildings\image\2775.png datasets\buildings\label2_gray\2775.png datasets\buildings\edge\2775.png
datasets\buildings\image\371.png datasets\buildings\label2_gray\371.png datasets\buildings\edge\371.png
datasets\buildings\image\29.png datasets\buildings\label2_gray\29.png datasets\buildings\edge\29.png
datasets\buildings\image\4198.png datasets\buildings\label2_gray\4198.png datasets\buildings\edge\4198.png
datasets\buildings\image\3432.png datasets\buildings\label2_gray\3432.png datasets\buildings\edge\3432.png
datasets\buildings\image\1812.png datasets\buildings\label2_gray\1812.png datasets\buildings\edge\1812.png
datasets\buildings\image\4262.png datasets\buildings\label2_gray\4262.png datasets\buildings\edge\4262.png
datasets\buildings\image\180.png datasets\buildings\label2_gray\180.png datasets\buildings\edge\180.png
datasets\buildings\image\2092.png datasets\buildings\label2_gray\2092.png datasets\buildings\edge\2092.png
datasets\buildings\image\3639.png datasets\buildings\label2_gray\3639.png datasets\buildings\edge\3639.png
datasets\buildings\image\5995.png datasets\buildings\label2_gray\5995.png datasets\buildings\edge\5995.png
datasets\buildings\image\1038.png datasets\buildings\label2_gray\1038.png datasets\buildings\edge\1038.png
datasets\buildings\image\94.png datasets\buildings\label2_gray\94.png datasets\buildings\edge\94.png
datasets\buildings\image\4296.png datasets\buildings\label2_gray\4296.png datasets\buildings\edge\4296.png
datasets\buildings\image\991.png datasets\buildings\label2_gray\991.png datasets\buildings\edge\991.png
datasets\buildings\image\4374.png datasets\buildings\label2_gray\4374.png datasets\buildings\edge\4374.png
datasets\buildings\image\1821.png datasets\buildings\label2_gray\1821.png datasets\buildings\edge\1821.png
datasets\buildings\image\4785.png datasets\buildings\label2_gray\4785.png datasets\buildings\edge\4785.png
datasets\buildings\image\1539.png datasets\buildings\label2_gray\1539.png datasets\buildings\edge\1539.png
datasets\buildings\image\2633.png datasets\buildings\label2_gray\2633.png datasets\buildings\edge\2633.png
datasets\buildings\image\2212.png datasets\buildings\label2_gray\2212.png datasets\buildings\edge\2212.png
datasets\buildings\image\1375.png datasets\buildings\label2_gray\1375.png datasets\buildings\edge\1375.png
datasets\buildings\image\2294.png datasets\buildings\label2_gray\2294.png datasets\buildings\edge\2294.png
datasets\buildings\image\1105.png datasets\buildings\label2_gray\1105.png datasets\buildings\edge\1105.png
datasets\buildings\image\1118.png datasets\buildings\label2_gray\1118.png datasets\buildings\edge\1118.png
datasets\buildings\image\3750.png datasets\buildings\label2_gray\3750.png datasets\buildings\edge\3750.png
datasets\buildings\image\428.png datasets\buildings\label2_gray\428.png datasets\buildings\edge\428.png
datasets\buildings\image\5064.png datasets\buildings\label2_gray\5064.png datasets\buildings\edge\5064.png
datasets\buildings\image\4634.png datasets\buildings\label2_gray\4634.png datasets\buildings\edge\4634.png
datasets\buildings\image\1518.png datasets\buildings\label2_gray\1518.png datasets\buildings\edge\1518.png
datasets\buildings\image\1534.png datasets\buildings\label2_gray\1534.png datasets\buildings\edge\1534.png
datasets\buildings\image\3208.png datasets\buildings\label2_gray\3208.png datasets\buildings\edge\3208.png
datasets\buildings\image\1579.png datasets\buildings\label2_gray\1579.png datasets\buildings\edge\1579.png
datasets\buildings\image\5068.png datasets\buildings\label2_gray\5068.png datasets\buildings\edge\5068.png
datasets\buildings\image\5698.png datasets\buildings\label2_gray\5698.png datasets\buildings\edge\5698.png
datasets\buildings\image\2202.png datasets\buildings\label2_gray\2202.png datasets\buildings\edge\2202.png
datasets\buildings\image\5017.png datasets\buildings\label2_gray\5017.png datasets\buildings\edge\5017.png
datasets\buildings\image\2946.png datasets\buildings\label2_gray\2946.png datasets\buildings\edge\2946.png
datasets\buildings\image\4752.png datasets\buildings\label2_gray\4752.png datasets\buildings\edge\4752.png
datasets\buildings\image\948.png datasets\buildings\label2_gray\948.png datasets\buildings\edge\948.png
datasets\buildings\image\5401.png datasets\buildings\label2_gray\5401.png datasets\buildings\edge\5401.png
datasets\buildings\image\4506.png datasets\buildings\label2_gray\4506.png datasets\buildings\edge\4506.png
datasets\buildings\image\5475.png datasets\buildings\label2_gray\5475.png datasets\buildings\edge\5475.png
datasets\buildings\image\1542.png datasets\buildings\label2_gray\1542.png datasets\buildings\edge\1542.png
datasets\buildings\image\4631.png datasets\buildings\label2_gray\4631.png datasets\buildings\edge\4631.png
datasets\buildings\image\1510.png datasets\buildings\label2_gray\1510.png datasets\buildings\edge\1510.png
datasets\buildings\image\4444.png datasets\buildings\label2_gray\4444.png datasets\buildings\edge\4444.png
datasets\buildings\image\3019.png datasets\buildings\label2_gray\3019.png datasets\buildings\edge\3019.png
datasets\buildings\image\3831.png datasets\buildings\label2_gray\3831.png datasets\buildings\edge\3831.png
datasets\buildings\image\3663.png datasets\buildings\label2_gray\3663.png datasets\buildings\edge\3663.png
datasets\buildings\image\4588.png datasets\buildings\label2_gray\4588.png datasets\buildings\edge\4588.png
datasets\buildings\image\211.png datasets\buildings\label2_gray\211.png datasets\buildings\edge\211.png
datasets\buildings\image\5568.png datasets\buildings\label2_gray\5568.png datasets\buildings\edge\5568.png
datasets\buildings\image\1768.png datasets\buildings\label2_gray\1768.png datasets\buildings\edge\1768.png
datasets\buildings\image\2191.png datasets\buildings\label2_gray\2191.png datasets\buildings\edge\2191.png
datasets\buildings\image\5269.png datasets\buildings\label2_gray\5269.png datasets\buildings\edge\5269.png
datasets\buildings\image\5476.png datasets\buildings\label2_gray\5476.png datasets\buildings\edge\5476.png
datasets\buildings\image\4314.png datasets\buildings\label2_gray\4314.png datasets\buildings\edge\4314.png
datasets\buildings\image\1065.png datasets\buildings\label2_gray\1065.png datasets\buildings\edge\1065.png
datasets\buildings\image\5771.png datasets\buildings\label2_gray\5771.png datasets\buildings\edge\5771.png
datasets\buildings\image\231.png datasets\buildings\label2_gray\231.png datasets\buildings\edge\231.png
datasets\buildings\image\3805.png datasets\buildings\label2_gray\3805.png datasets\buildings\edge\3805.png
datasets\buildings\image\3574.png datasets\buildings\label2_gray\3574.png datasets\buildings\edge\3574.png
datasets\buildings\image\402.png datasets\buildings\label2_gray\402.png datasets\buildings\edge\402.png
datasets\buildings\image\5062.png datasets\buildings\label2_gray\5062.png datasets\buildings\edge\5062.png
datasets\buildings\image\3780.png datasets\buildings\label2_gray\3780.png datasets\buildings\edge\3780.png
datasets\buildings\image\4513.png datasets\buildings\label2_gray\4513.png datasets\buildings\edge\4513.png
datasets\buildings\image\3679.png datasets\buildings\label2_gray\3679.png datasets\buildings\edge\3679.png
datasets\buildings\image\3064.png datasets\buildings\label2_gray\3064.png datasets\buildings\edge\3064.png
datasets\buildings\image\1163.png datasets\buildings\label2_gray\1163.png datasets\buildings\edge\1163.png
